start_time,end_time,start_lat         ,start_lng         ,end_lat           ,end_lng           ,act_duration,duration,distance,labels
18.2      ,20.4    ,118.959604        ,32.116824         ,118.96303200000001,32.111474         ,7980        ,167     ,697     ,0
9.6       ,9.7     ,118.960575        ,32.109474         ,118.959787        ,32.116698         ,360         ,249     ,1038    ,2
11.5      ,11.7    ,118.951504        ,32.124545         ,118.959985        ,32.113552         ,600         ,466     ,1941    ,3
10.4      ,10.4    ,118.95416999999999,32.113281         ,118.95398200000001,32.114325         ,120         ,50      ,208     ,2
13.0      ,15.1    ,118.96068799999999,32.113692         ,118.951182        ,32.112389         ,7320        ,568     ,2365    ,3
19.7      ,19.7    ,118.964303        ,32.116147999999995,118.960967        ,32.114259000000004,240         ,188     ,783     ,0
6.8       ,7.4     ,118.95443799999998,32.112518         ,118.95545800000001,32.112371         ,2040        ,32      ,133     ,2
10.4      ,10.5    ,118.95398200000001,32.114325         ,118.954975        ,32.117371999999996,120         ,105     ,439     ,2
17.9      ,18.0    ,118.954835        ,32.113512         ,118.95506100000001,32.113083         ,360         ,10      ,43      ,0
9.8       ,10.0    ,118.961541        ,32.113588         ,118.952174        ,32.121068         ,480         ,371     ,1544    ,3
18.1      ,18.3    ,118.95506100000001,32.113083         ,118.959846        ,32.112621999999995,840         ,157     ,654     ,0
17.0      ,17.1    ,118.95480800000001,32.113453         ,118.95233         ,32.122175         ,240         ,245     ,1020    ,0
16.9      ,17.0    ,118.951182        ,32.112389         ,118.95480800000001,32.113453         ,360         ,326     ,1357    ,3
2.8       ,4.8     ,118.955372        ,32.112815000000005,118.95443799999998,32.112518         ,7380        ,20      ,85      ,2
19.3      ,19.5    ,118.956246        ,32.115851         ,118.964303        ,32.116147999999995,480         ,301     ,1254    ,0
7.6       ,9.0     ,118.95545800000001,32.112371         ,118.961541        ,32.113588         ,4860        ,159     ,664     ,2
12.7      ,12.8    ,118.96166399999998,32.115281         ,118.96136399999999,32.109479         ,240         ,202     ,841     ,2
12.8      ,12.8    ,118.96136399999999,32.109479         ,118.960575        ,32.113692         ,120         ,137     ,572     ,2
11.7      ,11.7    ,118.959985        ,32.113552         ,118.96168600000001,32.115185         ,120         ,113     ,470     ,2
18.6      ,18.7    ,118.959846        ,32.112621999999995,118.956332        ,32.115844         ,240         ,187     ,781     ,0
11.3      ,11.3    ,118.952083        ,32.123128         ,118.951504        ,32.124545         ,120         ,42      ,175     ,2
10.2      ,10.3    ,118.952174        ,32.121068         ,118.95416999999999,32.113281         ,360         ,226     ,942     ,2
11.0      ,11.2    ,118.962603        ,32.113159         ,118.952083        ,32.123128         ,480         ,450     ,1877    ,3
10.5      ,10.6    ,118.954975        ,32.117371999999996,118.96278000000001,32.113537         ,360         ,245     ,1019    ,2
17.5      ,17.6    ,118.95233         ,32.122175         ,118.954835        ,32.113512         ,360         ,243     ,1012    ,0
8.9       ,12.9    ,118.96066100000002,32.111273         ,118.960897        ,32.111598         ,14340       ,7       ,31      ,2
16.7      ,16.8    ,118.96253899999999,32.10971          ,118.95657299999999,32.112989         ,360         ,224     ,935     ,0
3.2       ,3.7     ,118.95634299999999,32.111028000000005,118.95618200000001,32.110746         ,1680        ,3       ,11      ,2
7.2       ,7.8     ,118.956144        ,32.110394         ,118.956107        ,32.110772         ,2040        ,11      ,44      ,2
15.4      ,16.2    ,118.956074        ,32.110459999999996,118.96253899999999,32.10971          ,3000        ,191     ,796     ,0
17.5      ,17.7    ,118.95551699999999,32.112348         ,118.959084        ,32.112835         ,720         ,98      ,409     ,0
17.0      ,17.2    ,118.95657299999999,32.112989         ,118.955436        ,32.116307         ,720         ,105     ,437     ,0
17.4      ,17.5    ,118.955436        ,32.116307         ,118.95551699999999,32.112348         ,240         ,128     ,535     ,0
7.9       ,12.0    ,118.956107        ,32.110772         ,118.95878300000001,32.11122          ,14640       ,66      ,273     ,2
12.0      ,12.0    ,118.95878300000001,32.11122          ,118.956123        ,32.110592         ,120         ,62      ,258     ,2
4.0       ,5.2     ,118.95618200000001,32.110746         ,118.956144        ,32.110394         ,4500        ,11      ,47      ,2
12.4      ,12.5    ,118.954825        ,32.113476         ,118.95411100000001,32.119803000000005,240         ,193     ,806     ,2
19.5      ,19.6    ,118.954256        ,32.119838         ,118.95468500000001,32.113937         ,240         ,178     ,742     ,0
13.9      ,14.6    ,118.95849399999999,32.111851         ,118.95707800000001,32.11009          ,2520        ,95      ,395     ,2
