,HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
397,2804,718,935,311,508,250,69,2022-11-17-07-43
398,2865,682,1131,338,453,180,66,2022-11-17-07-58
399,2788,535,1358,339,383,104,58,2022-11-17-08-09
400,2788,408,1503,366,352,100,50,2022-11-17-08-21
401,2686,367,1442,382,363,76,47,2022-11-17-08-35
402,2912,335,1726,359,339,92,51,2022-11-17-08-49
403,2930,286,1798,400,288,101,47,2022-11-17-09-10
404,2916,316,1844,386,261,56,45,2022-11-17-09-25
405,2699,304,1724,340,241,33,43,2022-11-17-09-37
406,2836,270,1923,294,251,41,42,2022-11-17-09-49
407,2750,279,1818,312,240,46,43,2022-11-17-10-02
408,2670,304,1704,328,246,53,24,2022-11-17-10-16
409,2761,392,1592,364,284,85,28,2022-11-17-10-28
410,2842,403,1577,371,305,138,29,2022-11-17-10-38
411,2937,437,1590,372,333,158,28,2022-11-17-10-48
412,2949,445,1531,370,346,207,31,2022-11-17-11-02
413,2823,453,1353,346,342,271,39,2022-11-17-11-10
414,3038,493,1399,301,391,389,46,2022-11-17-11-33
415,2899,666,998,263,444,463,45,2022-11-17-11-46
416,2881,806,876,298,416,421,43,2022-11-17-11-58
417,3017,851,772,315,500,508,49,2022-11-17-12-11
418,3017,868,722,374,505,467,58,2022-11-17-12-28
419,2960,846,708,378,494,427,83,2022-11-17-12-38
420,2895,797,705,411,450,423,87,2022-11-17-12-51
421,2828,755,740,420,474,335,85,2022-11-17-13-03
422,2796,630,954,481,411,214,86,2022-11-17-13-16
423,2681,477,1190,541,340,42,75,2022-11-17-13-29
424,2798,435,1355,563,330,40,59,2022-11-17-13-40
425,2876,419,1447,559,340,37,65,2022-11-17-13-51
426,2866,427,1454,533,335,39,69,2022-11-17-14-02
427,2861,404,1475,528,336,64,46,2022-11-17-14-13
428,2833,380,1500,527,340,35,43,2022-11-17-14-24
429,2893,350,1544,559,352,30,49,2022-11-17-14-36
430,2859,364,1519,538,330,49,52,2022-11-17-14-48
431,2848,353,1513,544,330,53,48,2022-11-17-15-02
432,2775,312,1515,460,312,120,49,2022-11-17-15-15
433,2666,314,1448,427,293,125,52,2022-11-17-15-25
434,2764,341,1475,424,283,182,53,2022-11-17-15-35
435,2724,347,1413,398,302,206,52,2022-11-17-15-46
436,2899,384,1421,405,330,291,61,2022-11-17-16-07
437,2864,450,1361,356,325,298,65,2022-11-17-16-21
438,2783,472,1239,324,363,307,70,2022-11-17-16-34
439,2817,560,1027,369,403,378,71,2022-11-17-16-52
440,2652,636,781,300,426,409,91,2022-11-17-17-02
441,2560,696,697,305,391,368,95,2022-11-17-17-14
442,2674,726,619,290,488,422,112,2022-11-17-17-28
443,2627,673,627,345,461,400,107,2022-11-17-17-41
444,2573,644,661,353,442,360,102,2022-11-17-17-55
445,2499,558,760,418,373,264,118,2022-11-17-18-09
446,2497,398,989,509,273,197,124,2022-11-17-18-22
447,2579,401,1120,551,186,187,126,2022-11-17-18-37
448,2515,414,1122,541,165,146,120,2022-11-17-18-48
449,2584,425,1149,576,167,139,120,2022-11-17-18-58
450,2577,435,1126,603,155,123,127,2022-11-17-19-08
451,2504,466,1005,614,163,121,128,2022-11-17-19-16
452,2616,487,1053,628,170,138,132,2022-11-17-19-26
453,2621,514,1032,619,181,126,141,2022-11-17-19-35
454,2665,537,1024,607,180,167,142,2022-11-17-19-46
455,2703,569,1003,604,188,192,139,2022-11-17-19-56
456,2716,608,958,574,236,193,139,2022-11-17-20-07
457,2700,622,891,570,247,222,138,2022-11-17-20-15
458,2687,659,794,555,270,261,139,2022-11-17-20-25
459,2614,733,673,525,266,270,138,2022-11-17-20-34
460,2723,767,636,478,356,327,144,2022-11-17-20-47
461,2659,850,465,423,399,357,149,2022-11-17-20-57
462,2618,870,451,403,396,337,144,2022-11-17-21-07
463,2757,928,390,383,475,427,138,2022-11-17-21-27
464,2760,929,356,377,479,461,141,2022-11-17-21-37
465,2308,802,306,367,276,402,136,2022-11-17-21-45
466,2657,977,287,324,458,457,134,2022-11-17-21-54
467,2735,954,283,317,536,491,133,2022-11-17-22-05
468,2382,955,265,316,237,450,138,2022-11-17-22-14
469,2688,961,240,318,511,498,139,2022-11-17-22-24
470,2441,915,227,324,302,512,141,2022-11-17-22-32
471,2761,985,226,314,553,520,139,2022-11-17-22-44
472,2645,962,198,314,547,455,144,2022-11-17-22-57
473,2396,896,197,318,302,512,147,2022-11-17-23-06
474,2786,1004,194,318,519,579,147,2022-11-17-23-19
475,2649,977,187,316,425,570,148,2022-11-17-23-28
476,2783,1006,187,320,541,552,148,2022-11-17-23-40
477,2566,985,184,320,344,554,150,2022-11-17-23-49
478,2650,1005,182,321,423,543,148,2022-11-18-00-00
479,2800,1020,176,320,517,592,147,2022-11-18-00-38
480,2700,1009,173,322,551,472,144,2022-11-18-01-16
481,2534,945,176,322,340,584,143,2022-11-18-01-52
482,2664,988,182,321,428,566,148,2022-11-18-02-34
483,2804,1005,182,321,526,591,146,2022-11-18-03-16
